time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	1	1	0.1	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.637423	0.735886	4.65481	1.12823	0.1107	radar	16.4831	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.03655	0.612561	4.7668	0.0189778	0.00798154	lidar	5.13014	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.23992	0.512155	4.89691	0.0153349	0.0447647	radar	2.40302	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.54071	0.562565	4.93287	0.0687936	0.0734047	lidar	1.20532	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.78632	0.561691	5.32498	0.0827582	0.193738	radar	1.71596	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.08841	0.602518	5.36002	0.0995418	0.215866	lidar	0.760685	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.30945	0.643482	5.22967	0.139669	0.241638	radar	1.79374	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.58674	0.675848	5.25674	0.136271	0.194594	lidar	0.279642	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.86031	0.663818	5.29402	0.0743356	-0.0527267	radar	0.355565	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.09978	0.670582	5.26844	0.0611581	-0.096711	lidar	0.492335	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.39284	0.56014	5.34199	-0.115119	-0.651426	radar	2.33586	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.701	0.448347	5.42469	-0.251488	-0.958708	lidar	3.34014	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.98156	0.536699	5.45036	-0.0968235	-0.359231	radar	3.69031	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.26013	0.531093	5.4501	-0.0912093	-0.297148	lidar	0.278056	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
